sampleid	dataset	raw	filtered	perc_filtered
ERR12405952	Gunjur_2024	20427761	9999958	51.0472146213185
ERR12405953	Gunjur_2024	19742949	9465042	52.0586210297155
ERR12405954	Gunjur_2024	16893209	7750873	54.118409356091
ERR12405955	Gunjur_2024	21815376	12153055	44.2913337821911
ERR12405956	Gunjur_2024	53909635	24844489	53.9145664777734
ERR12405957	Gunjur_2024	30047441	15069467	49.8477524259054
ERR12405958	Gunjur_2024	22210717	9937246	55.2592291369972
ERR12405959	Gunjur_2024	19959340	9847139	50.6640049220064
ERR12405960	Gunjur_2024	22019672	11266799	48.8330298471294
ERR12405961	Gunjur_2024	21096465	10352043	50.929963858874
ERR12405962	Gunjur_2024	18049189	9605073	46.7839081301659
ERR12405963	Gunjur_2024	22884955	11530078	49.6172135798388
ERR12405964	Gunjur_2024	19596658	8629108	55.9664306026058
ERR12405965	Gunjur_2024	21284956	11615610	45.4280760552195
ERR12405966	Gunjur_2024	21581123	10438722	51.6303113605349
ERR12405967	Gunjur_2024	21653660	11192166	48.3128210196336
ERR12405968	Gunjur_2024	20047199	9732391	51.4526144026405
ERR12405969	Gunjur_2024	20314532	9784870	51.8331507710835
ERR12405970	Gunjur_2024	21118963	10893917	48.4164208252081
ERR12405971	Gunjur_2024	20502060	9981538	51.3144630344463
ERR12405972	Gunjur_2024	23501023	10977980	53.2872249859081
ERR12405973	Gunjur_2024	22094096	10576759	52.128573171765
ERR12405974	Gunjur_2024	28075306	15392992	45.1724871671924
ERR12405975	Gunjur_2024	21341238	10840802	49.2025626629533
ERR12405976	Gunjur_2024	22289986	11836767	46.8964807784087
ERR12405977	Gunjur_2024	18267077	8969423	50.8984223365347
ERR12405978	Gunjur_2024	19023226	8662640	54.4628234979703
ERR12405979	Gunjur_2024	18909533	9999370	47.1199526714911
ERR12405980	Gunjur_2024	30980500	12798060	58.6899501299204
ERR12405981	Gunjur_2024	18541730	8904761	51.9744867388318
ERR12405982	Gunjur_2024	23420077	11477543	50.9927187686018
ERR12405983	Gunjur_2024	19173186	9219278	51.9157744570986
ERR12405984	Gunjur_2024	17203241	9812362	42.962131379779
ERR12405985	Gunjur_2024	21055879	10378290	50.7107254938158
ERR12405986	Gunjur_2024	17067771	7846794	54.0256662688994
ERR12405987	Gunjur_2024	16092316	7231512	55.0623291265222
ERR12405988	Gunjur_2024	20228260	9458901	53.2391762811038
ERR12405989	Gunjur_2024	18995657	8820302	53.5667442300101
ERR12405990	Gunjur_2024	23773728	10950118	53.9402570770558
ERR12405991	Gunjur_2024	26914698	12934213	51.9436814784249
ERR12405992	Gunjur_2024	20656921	10597477	48.6976931363585
ERR12405993	Gunjur_2024	19542618	8617706	55.9030115617058
ERR12405994	Gunjur_2024	18450291	10329517	44.0143410204208
ERR12405995	Gunjur_2024	19363594	9681968	49.9991168994764
ERR12405996	Gunjur_2024	20741472	10208607	50.7816658335532
ERR12405997	Gunjur_2024	21667588	11237554	48.1365715464038
ERR12405998	Gunjur_2024	21219207	9911535	53.2897954197817
ERR12405999	Gunjur_2024	22045926	10994512	50.1290533225957
ERR12406000	Gunjur_2024	19894951	11135837	44.0268186636901
ERR12406001	Gunjur_2024	19100061	9618167	49.6432655372148
ERR12406002	Gunjur_2024	20087735	11120540	44.640149822765
ERR12406003	Gunjur_2024	18983998	9247123	51.2899074262439
ERR12406004	Gunjur_2024	21778904	10700545	50.8673852458324
ERR12406005	Gunjur_2024	17661768	9329222	47.1784364962783
ERR12406006	Gunjur_2024	18201895	9560137	47.4772434408615
ERR12406007	Gunjur_2024	26031646	12201608	53.1277891532483
ERR12406008	Gunjur_2024	18316431	8731426	52.3300909440273
ERR12406009	Gunjur_2024	19431927	9259022	52.3514986444731
ERR12406010	Gunjur_2024	21454857	10339146	51.8097650336239
ERR12406011	Gunjur_2024	20348821	10230796	49.7229053221314
ERR12406012	Gunjur_2024	21031082	10923525	48.0600902987302
ERR12406013	Gunjur_2024	20398405	10213593	49.929452817512
ERR12406014	Gunjur_2024	19960209	9842831	50.6877357847305
ERR12406015	Gunjur_2024	23664328	10673040	54.8981910663172
ERR2162200	Gopalakrishnan_2019	12221303	11639509	4.76049075945502
ERR2162201	Gopalakrishnan_2019	13918013	13312157	4.35303516385565
ERR2162202	Gopalakrishnan_2019	20813974	17232733	17.2059453903421
ERR2162203	Gopalakrishnan_2019	8707384	7548243	13.3121612645084
