featureid	Intercept	response[T.R]
semibin_SRR5930523.22	-0.382969519332621	-0.0375462783894671
semibin_SRR5930522.30_sub	-0.361259659961435	-0.00584694877482778
semibin_SRR5930521.13	0.129489922686842	-0.328144477160944
semibin_SRR5930520.142	-0.428223652974341	-0.0958357764802111
semibin_SRR5930519.63	-0.0821323750769827	0.0226728008665907
semibin_SRR5930519.26	-0.455284292087528	-0.136159719379915
semibin_SRR5930519.20	-0.480969864152941	-0.277336449774278
semibin_SRR5930518.30	-0.354716619685862	-0.306932644399179
semibin_SRR5930516.87	-0.498180111148033	-0.193348617704881
semibin_SRR5930516.27_sub	-0.474423938640032	-0.161070974024309
semibin_SRR5930511.52	1.16612967269066	1.25175520643376
semibin_SRR5930511.23	-0.388762382999632	-0.298827992232813
semibin_SRR5930510.9	-0.546751128718826	-0.261209697874559
semibin_SRR5930509.30	-0.358521467283938	-0.306020425113214
semibin_SRR5930507.29	2.2048824669564	-0.227593751104845
semibin_SRR5930507.17_sub	0.149588549300459	-0.333806426676287
semibin_SRR5930506.72	0.623981797858503	-0.606666901560797
semibin_SRR5930505.26	-0.25485334380028	-0.111139209421648
semibin_SRR5930505.112	-0.454321576491568	-0.281348423512949
semibin_SRR5930504.156_sub	-0.486430278024274	-0.176821322592272
semibin_SRR5930504.118_sub	-0.449038556054804	-0.126042605789675
semibin_SRR5930503.42	0.637946927710798	0.0589935468115675
semibin_SRR5930503.31	0.303720379039076	-0.126409680994524
semibin_SRR5930503.199	-0.465073622972343	-0.27917313710071
semibin_SRR5930502.51	1.36113878504875	1.33970603212498
semibin_SRR5930502.48	1.88156565444114	0.68610533937596
semibin_SRR5930502.40	-0.301369166210863	-0.316567183884157
semibin_SRR5930501.70	-0.40801001919863	-0.0678242160401476
semibin_SRR5930501.30_sub	-0.370827226177427	-0.0196174992642534
semibin_SRR5930501.2	-0.0754194615637991	0.282497136441694
semibin_SRR5930501.108	0.922389948531416	2.1815026687064
semibin_SRR5930499.20	-0.546751128718826	-0.261209697874559
semibin_SRR5930499.112	0.54565855280998	-0.154226423653139
semibin_SRR5930498.73	-0.229829913214419	-0.133400650175585
semibin_SRR5930498.24	-0.478551165409956	-0.163754524143709
semibin_SRR5930498.20	-0.546751128718826	-0.261209697874559
semibin_SRR5930498.118	-0.349123856261942	0.00851786002300853
semibin_SRR5930498.111	-0.477076743007276	-0.162314922960771
semibin_SRR5930497.86_sub	-0.468557672784302	-0.15073657170154
semibin_SRR5930495.29	0.133192444011	-0.433977672310842
semibin_SRR5930494.42	-0.318939930037234	0.0536616133131849
semibin_SRR5930494.37	-0.0480322299754354	-0.0710975839219225
semibin_SRR5930494.234	-0.289629942015383	0.0934248851218092
semibin_SRR5930494.170	0.573342168494489	-0.322983087452425
semibin_SRR5930493.36_sub	-0.274061387613985	0.111241726724135
semibin_SRR25825518.7	-0.0607199130809042	0.413806943742262
semibin_SRR25825517.45	0.119303608104017	0.364920108167158
semibin_SRR25825516.46	-0.409214785531733	-0.0659713162503374
semibin_SRR25825516.1	-0.458453690842364	-0.14045196905948
semibin_SRR25825514.3_sub	1.54099282042625	0.896882979718672
semibin_SRR25825511.42	-0.546751128718826	-0.261209697874559
semibin_SRR25825509.21	1.75545796172264	0.455523578969465
semibin_SRR25825508.4_sub	0.327465319796827	0.861617534009443
semibin_SRR25825507.51_sub	-0.324922641948435	0.0453268574156629
semibin_SRR25825504.166	-0.403859524265501	-0.0620638741574419
semibin_SRR25825502.47_sub	-0.242892122105334	0.165565757600294
semibin_SRR25825502.37	-0.322427174285624	0.0460663126387464
semibin_SRR25825502.21	-0.289287021592829	-0.202889622601045
semibin_SRR25825502.18	-0.419511078134749	-0.0803451551518572
semibin_SRR25825499.11	-0.546751128718826	-0.261209697874559
semibin_SRR25825497.63	-0.546751128718826	-0.261209697874559
semibin_SRR25825495.1_sub	0.106497788592604	-0.304887400420679
semibin_SRR23364237.9	-0.44075070901272	-0.110230029972566
semibin_SRR23364235.6	-0.340422442392084	0.0225672410406935
semibin_SRR23364233.61	-0.494184250686887	-0.189335317762865
semibin_SRR23364230.133	0.835626328154829	-0.0571419610104693
semibin_SRR23364229.5	-0.426295569375727	-0.287767635139002
semibin_SRR23364227.47	-0.455165708646748	-0.130733789356722
semibin_SRR23364212.64	-0.470364941493246	-0.152582795771135
semibin_SRR23364207.32	-0.323490968183253	0.0446113632597792
