featureid	Intercept	response[T.R]
semibin_SRR5930512.42	-0.338175086795119	-0.108608374536927
semibin_SRR5930511.52	0.995895804346773	-0.0476397072681736
semibin_SRR5930511.23	-0.387895582734373	-0.168427745045121
semibin_SRR5930510.9	0.0505986227404802	0.00994767790943873
semibin_SRR5930510.47_sub	-0.238815097628859	0.0134707296481777
semibin_SRR5930510.20_sub	-0.113223700343397	0.174068948089187
semibin_SRR5930509.30	-0.17653766137245	-0.0611643587955784
semibin_SRR5930507.86	-0.00615256887557819	0.309180816470688
semibin_SRR5930507.83_sub	0.352829457701418	0.0500580275645901
semibin_SRR5930507.17_sub	-0.34660544854286	-0.118559191168244
semibin_SRR5930507.158	0.494245172919008	0.0487877929797818
semibin_SRR5930506.126	-0.246926827846792	-0.171612868250306
semibin_SRR5930505.112	-0.309468819319037	-0.0743986462959598
semibin_SRR5930504.70	-0.322622640548971	-0.206408778370316
semibin_SRR5930504.41	-0.131882934390333	0.150227149783676
semibin_SRR5930504.132	-0.263586415468481	-0.0171431099781345
semibin_SRR5930504.118_sub	-0.2504392550576	-0.00269494408457982
semibin_SRR5930504.107	-0.271431459604529	-0.215293655336792
semibin_SRR5930503.28_sub	-0.326793430863646	-0.0951559042343448
semibin_SRR5930502.51	1.1352655305278	0.0787092650523831
semibin_SRR5930502.48	0.134808958948824	-0.29675721579879
semibin_SRR5930502.40	-0.18409353357437	0.0248958671680142
semibin_SRR5930501.70	-0.131756989775923	0.14440127259404
semibin_SRR5930501.30_sub	-0.410188062607077	-0.192808548153336
semibin_SRR5930501.2	-0.0609987364399703	0.238988956271713
semibin_SRR5930499.22_sub	-0.141171573220518	0.138439377605026
semibin_SRR5930499.112	1.3821727647197	0.510433872996872
semibin_SRR5930498.76	-0.410188062607077	-0.192808548153336
semibin_SRR5930498.73	0.378414691866609	0.232066472827499
semibin_SRR5930498.70	-0.278829468904761	-0.035684922874863
semibin_SRR5930498.69	-0.192831872521666	0.0683316791644741
semibin_SRR5930498.62_sub	-0.0713082836258681	0.227881094276016
semibin_SRR5930498.39	-0.410188062607077	-0.192808548153336
semibin_SRR5930498.24	-0.276937110840109	-0.153757790268357
semibin_SRR5930498.118	-0.34494675558689	-0.203368941486771
semibin_SRR5930498.111	-0.362568466483382	-0.138000169933731
semibin_SRR5930497.86_sub	-0.410188062607077	-0.192808548153336
semibin_SRR5930495.44	0.581681193293306	1.1584204042545
semibin_SRR5930495.29	0.000588180006715511	0.201071461497848
semibin_SRR5930495.18	-0.29225407403591	-0.211641112507279
semibin_SRR5930495.0_sub	-0.361385716615942	-0.135854611338074
semibin_SRR5930494.69	-0.171850530921248	0.0995395386806179
semibin_SRR5930494.42	-0.276692180453566	-0.0347910320171665
semibin_SRR5930493.92	-0.270458339272764	-0.0254369770893406
semibin_SRR5930493.36_sub	0.250403286398622	0.663873513995712
semibin_SRR25825518.7	0.31549644607422	-0.177458176554139
semibin_SRR25825517.45	0.243953050554964	-0.158879885614807
semibin_SRR25825516.46	-0.311312808214453	-0.076609919012482
semibin_SRR25825516.1	1.26441961664078	0.179799219428604
semibin_SRR25825514.3_sub	-0.138495622693327	0.136885067283218
semibin_SRR25825510.41_sub	1.06535595792648	0.234009643851822
semibin_SRR25825509.21	0.12132114309189	0.475540956317489
semibin_SRR25825508.4_sub	-0.378805710493353	-0.154977122486527
semibin_SRR25825504.54	-0.410188062607077	-0.192808548153336
semibin_SRR25825502.47_sub	-0.229110805808333	-0.223296443165238
semibin_SRR25825501.28	-0.35022774201515	-0.12324074858516
semibin_SRR25825499.11	1.14138978856919	0.23555322533757
semibin_SRR25825498.35	-0.410188062607077	-0.192808548153336
semibin_SRR25825495.1_sub	-0.342052458344725	-0.113191345871384
semibin_SRR25825494.37	-0.261961801468161	-0.0168199633964847
semibin_SRR23364235.52	-0.31708614390972	-0.0822404121765445
semibin_SRR23364231.16	-0.410188062607077	-0.192808548153336
semibin_SRR23364229.5	-0.0774447904217513	0.220029195605819
semibin_SRR23364227.47	-0.328744171677855	-0.0974989032158207
semibin_SRR23364221.0	-0.410188062607077	-0.192808548153336
semibin_SRR23364212.64	-0.368182225643423	-0.144706944168503
semibin_SRR23364206.58	-0.0831550346005233	0.20864071494252
semibin_SRR23364199.62	1.22922426599381	0.23196538334996
semibin_SRR23364199.41	-0.1495090709317	0.122183402835434
semibin_SRR23364196.25	-0.0879896269429	0.201436182319229
semibin_SRR23364196.21	-0.0380122051823409	0.266425927936142
semibin_SRR23364195.41	2.55729538339493	-0.194785962046082
semibin_SRR23364193.36	-0.0551311061966689	0.246444364844864
semibin_SRR23364187.35	-0.355083747326163	-0.128187248648102
semibin_SRR23364183.27	-0.134559868394163	0.143994292079513
semibin_SRR23364176.2	-0.107640771685866	0.174728652297561
semibin_SRR23364174.31	-0.127598790942457	0.151546200572555
semibin_SRR23364171.89	-0.410188062607077	-0.192808548153336
semibin_SRR23364171.81	-0.369262753545073	-0.146259823978836
semibin_SRR23364171.72	-0.285553871213225	-0.0457806681999515
semibin_SRR20881988.7	1.59995466607926	-0.781732985914643
semibin_SRR20881988.34	0.610232294977876	-0.419308873058255
semibin_SRR20881988.10	0.0957482470881669	-0.287634710014756
semibin_SRR20881987.45	0.179569126547548	-0.308430666268761
